"Story","Title","Result","Date","Stability","Duration (s)"
"Admin get test","Get all","ERROR","2021-11-18T16:59:18.347-05:00[America/New_York]","0.0","6.1"
"Admin get test","Get one","ERROR","2021-11-18T16:59:24.633-05:00[America/New_York]","0.0","0.61"
"Admin get test","GET request with Serenity Assertion way","ERROR","2021-11-18T16:59:25.276-05:00[America/New_York]","0.0","0.58"
